False Flax (Camelina sativa), 104761517, phenylalanine ammonia-lyase 4, KO:K10775, EC:4.3.1.24, False Flax (Camelina sativa), 104781181, phenylalanine ammonia-lyase 2-like, 
KO:K10775, EC:4.3.1.24, False Flax (Camelina sativa), 104791591, phenylalanine ammonia-lyase 2, KO:K10775, EC:4.3.1.24, 
104725697, peroxidase 66, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104739058, peroxidase 2-like, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104739059, peroxidase 3, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104751880, peroxidase 17-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104789236, 
peroxidase 28-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104793058, peroxidase 25-like, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104791140, peroxidase 34, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104791141, peroxidase 33, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104792294, peroxidase 20-like, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104746049, peroxidase 29-like, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104747648, peroxidase 15, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104705794, 
peroxidase 56-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104711524, peroxidase 35-like, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104712733, peroxidase 12-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104721661, peroxidase 46, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104722844, peroxidase 42, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104736057, LOW QUALITY PROTEIN: peroxidase 58-like, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104736058, peroxidase 59-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104744706, 
peroxidase 73-like isoform X1, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104753509, peroxidase 44-like, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104759078, peroxidase 2-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104754668, peroxidase 2-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104718565, LOW QUALITY PROTEIN: peroxidase 41-like, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104729542, peroxidase 49-like, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104731792, peroxidase 41-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104717182, 
peroxidase 45-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104722358, peroxidase 44, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104722359, peroxidase 44-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104722363, peroxidase 43-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104780930, peroxidase 36-like, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104732824, peroxidase 63, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104744462, peroxidase 28-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104706529, 
peroxidase 60-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104731323, peroxidase 42, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104736418, probable peroxidase 61, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104787943, peroxidase 11-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104789407, peroxidase 44-like, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104703227, peroxidase 57-like, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104777129, peroxidase 7-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104791228, 
peroxidase 35, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104757480, peroxidase 7-like, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104711636, peroxidase 36, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104729860, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104755752, peroxidase 4-like, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104755753, peroxidase 5, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104776537, peroxidase 6-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104782865, 
probable peroxidase 26, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104769759, peroxidase 56, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104703009, peroxidase 18-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104707190, peroxidase 37-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104708433, peroxidase 53-like, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104718971, peroxidase 39, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104727957, peroxidase 41-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104745884, 
peroxidase 72-like isoform X1, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104702778, peroxidase 17, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104705681, LOW QUALITY PROTEIN: peroxidase 55-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104713374, peroxidase 13-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104785542, peroxidase 24-like, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 109124402, peroxidase 21-like, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104786016, peroxidase 20, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104716368, 
peroxidase 50-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104721477, peroxidase 47, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104723893, peroxidase 17-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104726409, peroxidase 67, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104734683, peroxidase 54, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104735831, peroxidase 57, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104742483, peroxidase 10-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104750700, 
peroxidase 11, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104702481, peroxidase 13, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104719621, peroxidase 62-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104719677, peroxidase 63-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104721130, peroxidase 49-like, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104727284, peroxidase 73, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 109125052, peroxidase 28-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104773325, 
peroxidase 4-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104773326, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104791331, peroxidase 36-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104767317, peroxidase 57-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104732893, peroxidase 62, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104735536, peroxidase 56-like, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104735558, peroxidase 67-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104710661, 
peroxidase 31-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104718121, peroxidase 42, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104777870, peroxidase 10-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104785622, peroxidase 22-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104785623, peroxidase 23-like, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104786830, peroxidase 30, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104700180, peroxidase 15, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104741696, 
peroxidase 7, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104742125, peroxidase 69-like, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104742132, peroxidase 70, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104742142, peroxidase 71, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104744241, peroxidase 27, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104747745, peroxidase 16, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104713945, peroxidase 18-like isoform X1, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104727041, 
peroxidase 69, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104727042, peroxidase 70-like, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104727043, peroxidase 71-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104729917, peroxidase 47-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104793280, probable peroxidase 26, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104701826, peroxidase 12-like, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104713684, peroxidase 17, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104721841, 
peroxidase 45-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104724309, peroxidase 62, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104730812, peroxidase 44-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104730813, peroxidase 44-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104730816, peroxidase 43, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104731991, peroxidase 40, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104700032, peroxidase 19-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104699796, 
peroxidase 27-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104701512, peroxidase 11, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104718746, peroxidase 40-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 
104720028, peroxidase 46-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104725259, peroxidase 64, 
KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104727633, peroxidase 46-like, KO:K00430, EC:1.11.1.7, 
False Flax (Camelina sativa), 104737127, peroxidase 39-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104747984, 
peroxidase 57-like, KO:K00430, EC:1.11.1.7, False Flax (Camelina sativa), 104751606, peroxidase 13-like, KO:K00430, 
EC:1.11.1.7, False Flax (Camelina sativa), 104783989, UDP-glycosyltransferase 72E1-like, KO:K12356, EC:2.4.1.111, False Flax (Camelina sativa), 
104762900, UDP-glycosyltransferase 72E3-like, KO:K12356, EC:2.4.1.111, False Flax (Camelina sativa), 104729103, UDP-glycosyltransferase 72E3, 
KO:K12356, EC:2.4.1.111, False Flax (Camelina sativa), 104745489, UDP-glycosyltransferase 72E3 isoform X1, KO:K12356, EC:2.4.1.111, 
False Flax (Camelina sativa), 104715534, UDP-glycosyltransferase 72E1, KO:K12356, EC:2.4.1.111, False Flax (Camelina sativa), 104728333, 
UDP-glycosyltransferase 72E3-like, KO:K12356, EC:2.4.1.111, False Flax (Camelina sativa), 104773627, UDP-glycosyltransferase 72E3-like, KO:K12356, 
EC:2.4.1.111, False Flax (Camelina sativa), 104700605, UDP-glycosyltransferase 72D1, KO:K12356, EC:2.4.1.111, False Flax (Camelina sativa), 
104766052, UDP-glycosyltransferase 84A2, KO:K13068, EC:2.4.1.120, False Flax (Camelina sativa), 104757986, LOW QUALITY PROTEIN: beta-glucosidase 1-like, 
KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104699900, beta-glucosidase 16 isoform X1, KO:K01188, EC:3.2.1.21, 
False Flax (Camelina sativa), 104699901, beta-glucosidase 27-like, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104702348, 
beta-glucosidase 20-like, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104703166, beta-glucosidase 30, KO:K01188, 
EC:3.2.1.21, False Flax (Camelina sativa), 104703625, LOW QUALITY PROTEIN: putative beta-glucosidase 5, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 
104706766, beta-glucosidase 32-like, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104714104, beta-glucosidase 30 isoform X3, 
KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104719207, beta-glucosidase 32-like, KO:K01188, EC:3.2.1.21, 
False Flax (Camelina sativa), 104724966, beta-glucosidase 13, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104725980, 
putative beta-glucosidase 41, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104728888, putative beta-glucosidase 41, KO:K01188, 
EC:3.2.1.21, False Flax (Camelina sativa), 104730775, putative beta-glucosidase 41, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 
104736476, beta-glucosidase 32, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104741197, beta-glucosidase 40, 
KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104744460, probable inactive beta-glucosidase 25, KO:K01188, EC:3.2.1.21, 
False Flax (Camelina sativa), 104745088, beta-glucosidase 23 isoform X1, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104749328, 
beta-glucosidase 16-like isoform X1, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104750237, beta-glucosidase 29-like, KO:K01188, 
EC:3.2.1.21, False Flax (Camelina sativa), 104750461, beta-glucosidase 23-like, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 
104751486, beta-glucosidase 20, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104752709, putative beta-glucosidase 5 isoform X1, 
KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104756887, beta-glucosidase 40-like, KO:K01188, EC:3.2.1.21, 
False Flax (Camelina sativa), 104760500, beta-glucosidase 13-like isoform X1, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104761473, 
putative beta-glucosidase 41 isoform X1, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104764620, beta-glucosidase 23, KO:K01188, 
EC:3.2.1.21, False Flax (Camelina sativa), 104770854, beta-glucosidase 31-like, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 
104770855, beta-glucosidase 32-like, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104771643, beta-glucosidase 13 isoform X1, 
KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104776628, beta-glucosidase 40, KO:K01188, EC:3.2.1.21, 
False Flax (Camelina sativa), 104782992, beta-glucosidase 15, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104782995, 
beta-glucosidase 28, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104787471, beta-glucosidase 29, KO:K01188, 
EC:3.2.1.21, False Flax (Camelina sativa), 104788280, beta-glucosidase 27, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 
104788281, beta-glucosidase 16-like isoform X1, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104788282, beta-glucosidase 30, 
KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104788605, beta-glucosidase 8-like isoform X1, KO:K01188, EC:3.2.1.21, 
False Flax (Camelina sativa), 104788754, probable inactive beta-glucosidase 25, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104793389, 
beta-glucosidase 15, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104748735, beta-glucosidase 42-like, KO:K01188, 
EC:3.2.1.21, False Flax (Camelina sativa), 104792566, beta-glucosidase 42-like, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 
104758567, beta-glucosidase 1-like, KO:K01188, EC:3.2.1.21, False Flax (Camelina sativa), 104772661, lysosomal beta glucosidase-like, 
KO:K05349, EC:3.2.1.21, False Flax (Camelina sativa), 104780514, uncharacterized protein LOC104780514 isoform X1, KO:K05349, EC:3.2.1.21, 
False Flax (Camelina sativa), 104790923, uncharacterized protein LOC104790923 isoform X1, KO:K05349, EC:3.2.1.21, False Flax (Camelina sativa), 104768683, 
uncharacterized protein LOC104768683 isoform X2, KO:K05349, EC:3.2.1.21, False Flax (Camelina sativa), 104780507, uncharacterized protein LOC104780507, KO:K05349, 
EC:3.2.1.21, False Flax (Camelina sativa), 104708630, uncharacterized protein LOC104708630 isoform X2, KO:K05349, EC:3.2.1.21, False Flax (Camelina sativa), 
104706443, uncharacterized protein LOC104706443, KO:K05349, EC:3.2.1.21, False Flax (Camelina sativa), 104706444, uncharacterized protein LOC104706444, 
KO:K05349, EC:3.2.1.21, False Flax (Camelina sativa), 104711170, uncharacterized protein LOC104711170 isoform X1, KO:K05349, EC:3.2.1.21, 
False Flax (Camelina sativa), 104736174, uncharacterized protein LOC104736174, KO:K05349, EC:3.2.1.21, False Flax (Camelina sativa), 104738075, 
uncharacterized protein LOC104738075, KO:K05349, EC:3.2.1.21, False Flax (Camelina sativa), 104770480, uncharacterized protein LOC104770480, KO:K05349, 
EC:3.2.1.21, False Flax (Camelina sativa), 109124763, lysosomal beta glucosidase-like, KO:K05349, EC:3.2.1.21, False Flax (Camelina sativa), 
104790931, uncharacterized protein LOC104790931 isoform X1, KO:K05349, EC:3.2.1.21, False Flax (Camelina sativa), 104711169, uncharacterized protein LOC104711169, 
KO:K05349, EC:3.2.1.21, False Flax (Camelina sativa), 104711172, uncharacterized protein LOC104711172, KO:K05349, EC:3.2.1.21, 
False Flax (Camelina sativa), 104765662, beta-glucosidase 43 isoform X1, KO:K05350, EC:3.2.1.21, False Flax (Camelina sativa), 104746166, 
beta-glucosidase 44, KO:K05350, EC:3.2.1.21, False Flax (Camelina sativa), 104752839, LOW QUALITY PROTEIN: beta-glucosidase 45, KO:K05350, 
EC:3.2.1.21, False Flax (Camelina sativa), 104782979, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, False Flax (Camelina sativa), 
104782953, beta-glucosidase 44-like, KO:K05350, EC:3.2.1.21, False Flax (Camelina sativa), 104722873, beta-glucosidase 47-like, 
KO:K05350, EC:3.2.1.21, False Flax (Camelina sativa), 109124589, beta-glucosidase 44, KO:K05350, EC:3.2.1.21, 
False Flax (Camelina sativa), 104703781, beta-glucosidase 45 isoform X1, KO:K05350, EC:3.2.1.21, False Flax (Camelina sativa), 104752840, 
beta-glucosidase 46, KO:K05350, EC:3.2.1.21, False Flax (Camelina sativa), 104714512, beta-glucosidase 45-like, KO:K05350, 
EC:3.2.1.21, False Flax (Camelina sativa), 104714513, beta-glucosidase 46 isoform X1, KO:K05350, EC:3.2.1.21, False Flax (Camelina sativa), 
104731360, beta-glucosidase 47, KO:K05350, EC:3.2.1.21, False Flax (Camelina sativa), 104718148, beta-glucosidase 47, 
KO:K05350, EC:3.2.1.21, False Flax (Camelina sativa), 104703782, beta-glucosidase 46, KO:K05350, EC:3.2.1.21, 
False Flax (Camelina sativa), 104703783, beta-glucosidase 45-like, KO:K05350, EC:3.2.1.21, False Flax (Camelina sativa), 104702181, 
cytochrome P450 98A8-like, KO:K15506, EC:1.14.13.-, False Flax (Camelina sativa), 104751323, cytochrome P450 98A8-like, KO:K15506, 
EC:1.14.13.-, False Flax (Camelina sativa), 104713096, cytochrome P450 98A8, KO:K15506, EC:1.14.13.-, False Flax (Camelina sativa), 
104713094, cytochrome P450 98A9-like, KO:K23662, EC:1.14.13.-, False Flax (Camelina sativa), 104751322, cytochrome P450 98A9-like, 
KO:K23662, EC:1.14.13.-, False Flax (Camelina sativa), 104702186, cytochrome P450 98A9, KO:K23662, EC:1.14.13.-, 
False Flax (Camelina sativa), 104787838, tapetum-specific methyltransferase 1, KO:K13067, EC:2.1.1.-, False Flax (Camelina sativa), 104765146, 
feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, EC:1.14.11.61, False Flax (Camelina sativa), 104778096, feruloyl CoA ortho-hydroxylase 1-like, KO:K06892, 
EC:1.14.11.61, False Flax (Camelina sativa), 104742969, feruloyl CoA ortho-hydroxylase 2, KO:K06892, EC:1.14.11.61, False Flax (Camelina sativa), 
104745611, feruloyl CoA ortho-hydroxylase 1, KO:K06892, EC:1.14.11.61, False Flax (Camelina sativa), 104792866, UDP-glycosyltransferase 73B4-like, 
KO:K23260, EC:2.4.1.128, False Flax (Camelina sativa), 104721391, UDP-glycosyltransferase 73B1-like, KO:K23260, EC:2.4.1.128, 
False Flax (Camelina sativa), 104716733, UDP-glycosyltransferase 73B1-like, KO:K23260, EC:2.4.1.128, False Flax (Camelina sativa), 104729825, 
UDP-glucosyl transferase 73B2 isoform X1, KO:K23260, EC:2.4.1.128, False Flax (Camelina sativa), 104747371, UDP-glycosyltransferase 73B4-like, KO:K23260, 
EC:2.4.1.128, False Flax (Camelina sativa), 104766721, UDP-glycosyltransferase 73B4-like, KO:K23260, EC:2.4.1.128, 
